draw_date,lottery_type,issue,number,detail_url,d1,d2,d3,d4,d5
2004-11-26,p5,04009,41809,https://www.js-lottery.com/cms/post-7791.html,4,1,8,0,9
2004-11-27,p5,04010,27464,https://www.js-lottery.com/cms/post-7792.html,2,7,4,6,4
2004-11-29,p5,04011,36416,https://www.js-lottery.com/cms/post-7793.html,3,6,4,1,6
2004-11-29,p5,04012,30564,https://www.js-lottery.com/cms/post-7794.html,3,0,5,6,4
2004-11-30,p5,04013,03232,https://www.js-lottery.com/cms/post-7795.html,0,3,2,3,2
2004-12-01,p5,04014,35919,https://www.js-lottery.com/cms/post-7796.html,3,5,9,1,9
2004-12-02,p5,04015,59872,https://www.js-lottery.com/cms/post-7797.html,5,9,8,7,2
2004-12-03,p5,04016,44517,https://www.js-lottery.com/cms/post-7798.html,4,4,5,1,7
2004-12-04,p5,04017,19318,https://www.js-lottery.com/cms/post-7799.html,1,9,3,1,8
2004-12-05,p5,04018,12998,https://www.js-lottery.com/cms/post-7800.html,1,2,9,9,8
2004-12-06,p5,04019,71140,https://www.js-lottery.com/cms/post-7801.html,7,1,1,4,0
2004-12-07,p5,04020,10931,https://www.js-lottery.com/cms/post-7802.html,1,0,9,3,1
2004-12-08,p5,04021,39386,https://www.js-lottery.com/cms/post-7803.html,3,9,3,8,6
2004-12-09,p5,04022,59190,https://www.js-lottery.com/cms/post-7804.html,5,9,1,9,0
2004-12-10,p5,04023,87197,https://www.js-lottery.com/cms/post-7805.html,8,7,1,9,7
2004-12-11,p5,04024,88679,https://www.js-lottery.com/cms/post-7806.html,8,8,6,7,9
2004-12-12,p5,04025,61868,https://www.js-lottery.com/cms/post-7807.html,6,1,8,6,8
2004-12-13,p5,04026,62173,https://www.js-lottery.com/cms/post-7808.html,6,2,1,7,3
2004-12-14,p5,04027,36339,https://www.js-lottery.com/cms/post-7809.html,3,6,3,3,9
2004-12-15,p5,04028,07519,https://www.js-lottery.com/cms/post-7810.html,0,7,5,1,9
2004-12-16,p5,04029,25615,https://www.js-lottery.com/cms/post-7811.html,2,5,6,1,5
2004-12-17,p5,04030,12060,https://www.js-lottery.com/cms/post-7812.html,1,2,0,6,0
2004-12-18,p5,04031,36210,https://www.js-lottery.com/cms/post-7813.html,3,6,2,1,0
2004-12-19,p5,04032,37870,https://www.js-lottery.com/cms/post-7814.html,3,7,8,7,0
2004-12-20,p5,04033,50502,https://www.js-lottery.com/cms/post-7815.html,5,0,5,0,2
2004-12-21,p5,04034,99528,https://www.js-lottery.com/cms/post-7816.html,9,9,5,2,8
2004-12-22,p5,04035,37480,https://www.js-lottery.com/cms/post-7817.html,3,7,4,8,0
2004-12-23,p5,04036,00904,https://www.js-lottery.com/cms/post-7818.html,0,0,9,0,4
2004-12-24,p5,04037,32595,https://www.js-lottery.com/cms/post-7819.html,3,2,5,9,5
2004-12-25,p5,04038,42533,https://www.js-lottery.com/cms/post-7820.html,4,2,5,3,3
2004-12-26,p5,04039,80212,https://www.js-lottery.com/cms/post-7821.html,8,0,2,1,2
2004-12-27,p5,04040,56641,https://www.js-lottery.com/cms/post-7822.html,5,6,6,4,1
2004-12-28,p5,04041,81405,https://www.js-lottery.com/cms/post-7823.html,8,1,4,0,5
2004-12-29,p5,04042,78024,https://www.js-lottery.com/cms/post-7824.html,7,8,0,2,4
2004-12-30,p5,04043,70432,https://www.js-lottery.com/cms/post-7825.html,7,0,4,3,2
2004-12-31,p5,04044,38212,https://www.js-lottery.com/cms/post-7826.html,3,8,2,1,2
2005-01-01,p5,05001,05497,https://www.js-lottery.com/cms/post-7827.html,0,5,4,9,7
2005-01-02,p5,05002,36614,https://www.js-lottery.com/cms/post-7828.html,3,6,6,1,4
2005-01-03,p5,05003,43132,https://www.js-lottery.com/cms/post-7829.html,4,3,1,3,2
2005-01-04,p5,05004,67476,https://www.js-lottery.com/cms/post-7830.html,6,7,4,7,6
2005-01-05,p5,05005,29955,https://www.js-lottery.com/cms/post-7831.html,2,9,9,5,5
2005-01-06,p5,05006,42059,https://www.js-lottery.com/cms/post-7832.html,4,2,0,5,9
2005-01-07,p5,05007,43516,https://www.js-lottery.com/cms/post-7833.html,4,3,5,1,6
2005-01-08,p5,05008,28126,https://www.js-lottery.com/cms/post-7834.html,2,8,1,2,6
2005-01-09,p5,05009,86980,https://www.js-lottery.com/cms/post-7835.html,8,6,9,8,0
2005-01-10,p5,05010,41671,https://www.js-lottery.com/cms/post-7836.html,4,1,6,7,1
2005-01-11,p5,05011,20455,https://www.js-lottery.com/cms/post-7837.html,2,0,4,5,5
2005-01-12,p5,05012,19662,https://www.js-lottery.com/cms/post-7838.html,1,9,6,6,2
2005-01-13,p5,05013,61326,https://www.js-lottery.com/cms/post-7839.html,6,1,3,2,6
2005-01-14,p5,05014,08542,https://www.js-lottery.com/cms/post-7840.html,0,8,5,4,2
2005-01-15,p5,05015,36747,https://www.js-lottery.com/cms/post-7841.html,3,6,7,4,7
2005-01-16,p5,05016,66573,https://www.js-lottery.com/cms/post-7842.html,6,6,5,7,3
2005-01-17,p5,05017,15749,https://www.js-lottery.com/cms/post-7843.html,1,5,7,4,9
2005-01-18,p5,05018,05596,https://www.js-lottery.com/cms/post-7844.html,0,5,5,9,6
2005-01-19,p5,05019,57479,https://www.js-lottery.com/cms/post-7845.html,5,7,4,7,9
2005-01-20,p5,05020,92243,https://www.js-lottery.com/cms/post-7846.html,9,2,2,4,3
2005-01-21,p5,05021,00148,https://www.js-lottery.com/cms/post-7847.html,0,0,1,4,8
2005-01-22,p5,05022,93824,https://www.js-lottery.com/cms/post-7848.html,9,3,8,2,4
2005-01-23,p5,05023,08025,https://www.js-lottery.com/cms/post-7849.html,0,8,0,2,5
2005-01-24,p5,05024,31254,https://www.js-lottery.com/cms/post-7850.html,3,1,2,5,4
2005-01-25,p5,05025,75594,https://www.js-lottery.com/cms/post-7851.html,7,5,5,9,4
2005-01-26,p5,05026,27716,https://www.js-lottery.com/cms/post-7852.html,2,7,7,1,6
2005-01-27,p5,05027,01442,https://www.js-lottery.com/cms/post-7853.html,0,1,4,4,2
2005-01-28,p5,05028,86202,https://www.js-lottery.com/cms/post-7854.html,8,6,2,0,2
2005-01-29,p5,05029,62873,https://www.js-lottery.com/cms/post-7855.html,6,2,8,7,3
2005-01-30,p5,05030,45924,https://www.js-lottery.com/cms/post-7856.html,4,5,9,2,4
2005-01-31,p5,05031,50405,https://www.js-lottery.com/cms/post-7857.html,5,0,4,0,5
2005-02-01,p5,05032,36186,https://www.js-lottery.com/cms/post-7858.html,3,6,1,8,6
2005-02-02,p5,05033,59091,https://www.js-lottery.com/cms/post-7859.html,5,9,0,9,1
2005-02-03,p5,05034,18635,https://www.js-lottery.com/cms/post-7860.html,1,8,6,3,5
2005-02-04,p5,05035,83020,https://www.js-lottery.com/cms/post-7861.html,8,3,0,2,0
2005-02-05,p5,05036,94236,https://www.js-lottery.com/cms/post-7862.html,9,4,2,3,6
2005-02-06,p5,05037,70841,https://www.js-lottery.com/cms/post-7863.html,7,0,8,4,1
2005-02-07,p5,05038,31966,https://www.js-lottery.com/cms/post-7864.html,3,1,9,6,6
2005-02-08,p5,05039,02883,https://www.js-lottery.com/cms/post-7865.html,0,2,8,8,3
